Date : 2025-10-16 14:57:36
Directory : /home/maniospas/Desktop/p4ot/smol
Total : 189 files,  21199 codes, 2007 comments, 1907 blanks, all 25113 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C++        |         69 |      7,769 |      1,185 |        574 |      9,528 |
| C          |         13 |      6,375 |         89 |        230 |      6,694 |
| smoλ       |         86 |      3,107 |        689 |        605 |      4,401 |
| HTML       |          5 |      3,009 |          9 |        388 |      3,406 |
| JavaScript |          6 |        571 |         27 |         41 |        639 |
| YAML       |          1 |        126 |          2 |         27 |        155 |
| JSON       |          3 |        114 |          0 |          3 |        117 |
| Markdown   |          2 |         62 |          0 |         18 |         80 |
| Python     |          2 |         44 |          0 |         11 |         55 |
| Makefile   |          1 |         21 |          6 |         10 |         37 |
| PostCSS    |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        189 |     21,199 |      2,007 |      1,907 |     25,113 |
| . (Files)                                                                              |          2 |         80 |          6 |         27 |        113 |
| .github                                                                                |          1 |        126 |          2 |         27 |        155 |
| .github/workflows                                                                      |          1 |        126 |          2 |         27 |        155 |
| docs                                                                                   |          8 |      3,032 |          9 |        389 |      3,430 |
| docs (Files)                                                                           |          5 |      2,602 |          9 |        334 |      2,945 |
| docs/blog                                                                              |          1 |        428 |          0 |         55 |        483 |
| docs/vendor                                                                            |          2 |          2 |          0 |          0 |          2 |
| docs/vendor/prism                                                                      |          2 |          2 |          0 |          0 |          2 |
| lsp                                                                                    |          9 |        687 |         27 |         45 |        759 |
| lsp (Files)                                                                            |          8 |        642 |         27 |         44 |        713 |
| lsp/syntaxes                                                                           |          1 |         45 |          0 |          1 |         46 |
| self                                                                                   |          2 |         65 |          0 |          8 |         73 |
| src                                                                                    |         63 |      7,009 |        994 |        466 |      8,469 |
| src (Files)                                                                            |          6 |      1,437 |        107 |         92 |      1,636 |
| src/codegen                                                                            |          7 |        559 |        103 |         56 |        718 |
| src/parser                                                                             |         37 |      4,305 |        639 |        224 |      5,168 |
| src/parser (Files)                                                                     |          7 |      1,665 |        144 |         82 |      1,891 |
| src/parser/directives                                                                  |          7 |        343 |         96 |          8 |        447 |
| src/parser/expression                                                                  |         12 |      1,052 |        247 |         82 |      1,381 |
| src/parser/expression (Files)                                                          |          3 |        431 |         70 |         21 |        522 |
| src/parser/expression/buffer                                                           |          5 |        414 |         79 |         49 |        542 |
| src/parser/expression/flow                                                             |          4 |        207 |         98 |         12 |        317 |
| src/parser/next_var                                                                    |          6 |        689 |         87 |         31 |        807 |
| src/parser/properties                                                                  |          1 |        131 |         15 |          3 |        149 |
| src/parser/returns                                                                     |          2 |        259 |         33 |          9 |        301 |
| src/parser/tostr                                                                       |          2 |        166 |         17 |          9 |        192 |
| src/utils                                                                              |         13 |        708 |        145 |         94 |        947 |
| std                                                                                    |         25 |      2,599 |        817 |        433 |      3,849 |
| std (Files)                                                                            |         13 |      1,126 |        444 |        181 |      1,751 |
| std/core                                                                               |          5 |        635 |         86 |        110 |        831 |
| std/mem                                                                                |          4 |        318 |        112 |         63 |        493 |
| std/runtime                                                                            |          3 |        520 |        175 |         79 |        774 |
| tests                                                                                  |         79 |      7,601 |        152 |        512 |      8,265 |
| tests/app                                                                              |          5 |      1,479 |         18 |         57 |      1,554 |
| tests/qualitative                                                                      |         20 |        660 |         35 |         92 |        787 |
| tests/unit                                                                             |         54 |      5,462 |         99 |        363 |      5,924 |
| tests/unit (Files)                                                                     |          7 |      2,718 |         44 |         89 |      2,851 |
| tests/unit/buffers                                                                     |          8 |        199 |          4 |         40 |        243 |
| tests/unit/resources                                                                   |         16 |      1,850 |         26 |        113 |      1,989 |
| tests/unit/service                                                                     |          5 |        183 |          9 |         36 |        228 |
| tests/unit/tutorial                                                                    |          7 |         78 |          1 |         16 |         95 |
| tests/unit/types                                                                       |         11 |        434 |         15 |         69 |        518 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                               | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/maniospas/Desktop/p4ot/smol/.github/workflows/release.yml                        | YAML       |        126 |          2 |         27 |        155 |
| /home/maniospas/Desktop/p4ot/smol/Makefile                                             | Makefile   |         21 |          6 |         10 |         37 |
| /home/maniospas/Desktop/p4ot/smol/README.md                                            | Markdown   |         59 |          0 |         17 |         76 |
| /home/maniospas/Desktop/p4ot/smol/docs/blog/2025-09-06.html                            | HTML       |        428 |          0 |         55 |        483 |
| /home/maniospas/Desktop/p4ot/smol/docs/index.html                                      | HTML       |        129 |          6 |         14 |        149 |
| /home/maniospas/Desktop/p4ot/smol/docs/material.html                                   | HTML       |        133 |          3 |         16 |        152 |
| /home/maniospas/Desktop/p4ot/smol/docs/std.html                                        | HTML       |      1,082 |          0 |          8 |      1,090 |
| /home/maniospas/Desktop/p4ot/smol/docs/std.s                                           | smoλ       |         21 |          0 |          1 |         22 |
| /home/maniospas/Desktop/p4ot/smol/docs/tutorial.html                                   | HTML       |      1,237 |          0 |        295 |      1,532 |
| /home/maniospas/Desktop/p4ot/smol/docs/vendor/prism/prism.min.css                      | PostCSS    |          1 |          0 |          0 |          1 |
| /home/maniospas/Desktop/p4ot/smol/docs/vendor/prism/prism.min.js                       | JavaScript |          1 |          0 |          0 |          1 |
| /home/maniospas/Desktop/p4ot/smol/lsp/README.md                                        | Markdown   |          3 |          0 |          1 |          4 |
| /home/maniospas/Desktop/p4ot/smol/lsp/extension.js                                     | JavaScript |         37 |          1 |          4 |         42 |
| /home/maniospas/Desktop/p4ot/smol/lsp/language-configuration.json                      | JSON       |         16 |          0 |          1 |         17 |
| /home/maniospas/Desktop/p4ot/smol/lsp/package.json                                     | JSON       |         53 |          0 |          1 |         54 |
| /home/maniospas/Desktop/p4ot/smol/lsp/server.js                                        | JavaScript |        505 |         26 |         36 |        567 |
| /home/maniospas/Desktop/p4ot/smol/lsp/smol_builtins.js                                 | JavaScript |          3 |          0 |          0 |          3 |
| /home/maniospas/Desktop/p4ot/smol/lsp/smol_directives.js                               | JavaScript |         21 |          0 |          1 |         22 |
| /home/maniospas/Desktop/p4ot/smol/lsp/smol_keywords.js                                 | JavaScript |          4 |          0 |          0 |          4 |
| /home/maniospas/Desktop/p4ot/smol/lsp/syntaxes/smolambda.tmLanguage.json               | JSON       |         45 |          0 |          1 |         46 |
| /home/maniospas/Desktop/p4ot/smol/self/console.s                                       | smoλ       |         19 |          0 |          2 |         21 |
| /home/maniospas/Desktop/p4ot/smol/self/main.s                                          | smoλ       |         46 |          0 |          6 |         52 |
